iso3,ADMIN0,ADMIN1,centroid_lat,centroid_lon
IND,India,Uttarakhand,30.131058795432235,79.19254531573834
IND,India,West Bengal,23.87616918503561,87.97944958449973
IRN,Iran,Alborz,35.90620058145607,50.80655541505035
IRN,Iran,Ardebil,38.45887058749238,48.05384199970792
IRN,Iran,Bushehr,28.820787048103448,51.42751654138529
IRN,Iran,Chahar Mahall and Bakhtiari,31.944128041082138,50.66515718569681
IRN,Iran,East Azarbaijan,37.952728625493656,46.59728987818593
IRN,Iran,Esfahan,33.18049071095413,52.451161905077214
IRN,Iran,Fars,29.300581249175487,53.17176781007799
IRN,Iran,Gilan,37.298726436899656,49.45877981249893
IRN,Iran,Golestan,37.29552215594212,55.065346960257614
IRN,Iran,Hamadan,34.8913640301868,48.54489259791365
IRN,Iran,Hormozgan,27.099375078506274,56.236672760951365
IRN,Iran,Ilam,33.192338885649946,46.81694041685654
IRN,Iran,Kerman,29.570766525620822,57.27173698841832
IRN,Iran,Kermanshah,34.446866543935336,46.61165788240238
IRN,Iran,Khuzestan,31.490068946895786,48.969010719119915
IRN,Iran,Kohgiluyeh and Buyer Ahmad,30.82518719222904,50.72692679027399
IRN,Iran,Kordestan,35.71330837734517,46.92176348187725
IRN,Iran,Lorestan,33.49226210735575,48.4122020113035
IRN,Iran,Markazi,34.55865875457979,49.933563283710505
IRN,Iran,Mazandaran,36.380653189284125,52.30654921722185
IRN,Iran,North Khorasan,37.43290676098099,57.03107327739218
IRN,Iran,Qazvin,36.07898598438741,49.73760314300854
IRN,Iran,Qom,34.67963520617496,50.96457711791591
IRN,Iran,Razavi Khorasan,35.48564161868483,58.88303552573655
IRN,Iran,Semnan,35.47893226138471,54.6757693683498
IRN,Iran,Sistan and Baluchestan,27.782561428163067,60.67548253026371
IRN,Iran,South Khorasan,32.37267016746829,59.60506502653973
IRN,Iran,Tehran,35.561078622680135,51.84776692434256
IRN,Iran,West Azarbaijan,37.71703926749845,45.28831707926259
IRN,Iran,Yazd,32.56460286025229,55.59479574575536
IRN,Iran,Zanjan,36.5107282893124,48.38048329878625
IRQ,Iraq,Al-Anbar,32.94228951036374,41.63530137863384
IRQ,Iraq,Al-Basrah,30.37070672584912,47.35320978799171
IRQ,Iraq,Al-Muthannia,30.17537001180989,45.35051698004193
IRQ,Iraq,Al-Qadisiyah,31.839024707799204,45.02907828814559
IRQ,Iraq,An-Najaf,31.11692928527721,43.78617098420264
IRQ,Iraq,Arbil,36.34728740629836,44.2012452801859
IRQ,Iraq,As-Sulaymaniyah,35.53472097603086,45.28109838240836
IRQ,Iraq,At-Ta'mim,35.33086783828119,44.09150413828669
IRQ,Iraq,Babil,32.59740356231563,44.48607427480123
IRQ,Iraq,Baghdad,33.334946055528874,44.41113894814929
IRQ,Iraq,Dhi-Qar,31.217410727376873,46.33824679978587
IRQ,Iraq,Dihok,37.087230363286835,43.16733350653803
IRQ,Iraq,Diyala,33.90437953736371,45.06042729458646
IRQ,Iraq,Karbala',32.42941254627537,43.78711945021735
IRQ,Iraq,Maysan,31.91717665617964,47.052582612888735
IRQ,Iraq,Ninawa,36.00146581074659,42.47451925280882
IRQ,Iraq,Sala ad-Din,34.51525900988065,43.58801556798243
IRQ,Iraq,Wasit,32.62546797753441,45.68810172863147
JAM,Jamaica,Clarendon,17.97638075884197,-77.30277648390609
JAM,Jamaica,Hanover,18.380969894146524,-78.11447017348968
JAM,Jamaica,Kingston,17.95027524321836,-76.77918523431023
JAM,Jamaica,Manchester,18.034803649271407,-77.4989068533633
JAM,Jamaica,Portland,18.125783243858297,-76.51765913541718
JAM,Jamaica,Saint Andrew,18.062010860335608,-76.77212733756144
JAM,Jamaica,Saint Ann,18.31944901398947,-77.26618615628779
JAM,Jamaica,Saint Catherine,18.07056115485063,-77.03496999348708
JAM,Jamaica,Saint Elizabeth,18.064644518508373,-77.73853976415532
JAM,Jamaica,Saint James,18.39178324754187,-77.84283251270404
JAM,Jamaica,Saint Mary,18.30229828957188,-76.88978908290672
JAM,Jamaica,Saint Thomas,17.967046354217175,-76.44589531144946
JAM,Jamaica,Trelawny,18.35917481995863,-77.61213690547912
JAM,Jamaica,Westmoreland,18.23477490114173,-78.06749303193116
JOR,Jordan,Ajlun,32.33173887587328,35.83087879541205
JOR,Jordan,Amman,31.58914871443285,36.36119556511457
JOR,Jordan,Aqaba,29.858361004528195,35.334128217752166
JOR,Jordan,Balqa,32.005510927657966,35.690096784389354
JOR,Jordan,Irbid,32.505579268637895,35.82253547007756
JOR,Jordan,Jarash,32.23745216249874,35.930525097458165
JOR,Jordan,Karak,31.173406397492872,35.78951171381344
JOR,Jordan,Ma`an,30.36182843317412,36.5591032251177
JOR,Jordan,Madaba,31.60487323191728,35.69077090137068
JOR,Jordan,Mafraq,32.36260118810063,37.919329919570586
JOR,Jordan,Tafilah,30.808340937490197,35.702917645415006
JOR,Jordan,Zarqa,31.81413300574176,36.866267742491885
KEN,Kenya,Baringo,0.0281034220222081,35.88894558678382
KEN,Kenya,Bomet,-0.7133805561906313,35.33467587575846
KEN,Kenya,Bungoma,0.5838262848543486,34.45799510245209
KEN,Kenya,Busia,0.0825558487657969,34.01098219252441
KEN,Kenya,Elgeyo-Marakwet,0.7110664829870194,35.554845136395045
KEN,Kenya,Embu,-0.3655268461243314,37.49826171223376
KEN,Kenya,Garissa,0.0558737110347422,39.18660488571191
KEN,Kenya,Homa Bay,-0.5475942415372091,34.45836644403656
KEN,Kenya,Isiolo,1.2692389416934051,38.47658157611404
KEN,Kenya,Kajiado,-2.204435629562069,36.84342392103978
KEN,Kenya,Kakamega,0.2360188899777102,34.539468672000545
KEN,Kenya,Kericho,-0.1724886451185335,35.531270175869956
KEN,Kenya,Kiambu,-1.2392089662401893,36.60469388291691
KEN,Kenya,Kilifi,-3.439698700949019,39.49075739168895
KEN,Kenya,Kirinyaga,-0.3860373729916002,37.35997093515224
KEN,Kenya,Kisii,-0.8088711395813867,34.800025411628596
KEN,Kenya,Kisumu,-0.1204341385523095,34.73343646993431
KEN,Kenya,Kitui,-1.338676800652406,38.01955942304031
KEN,Kenya,Kwale,-3.954618234471954,39.15905606102736
KEN,Kenya,Laikipia,-0.0554831308226122,36.87355571855666
KEN,Kenya,Lamu,-1.8482642082964933,41.11485797715283
KEN,Kenya,Machakos,-1.4403582321307755,37.317575247742795
KEN,Kenya,Makueni,-1.771987140328363,37.44403675131512
KEN,Kenya,Mandera,4.003041587229843,40.46481271795049
KEN,Kenya,Marsabit,2.267147358184187,37.389372686156655
KEN,Kenya,Meru,0.0860710432902178,37.40022961699355
KEN,Kenya,Migori,-1.2674491388093272,34.62520936026787
KEN,Kenya,Mombasa,-3.995392204884101,39.6051465041325
KEN,Kenya,Murang'a,-0.6787517460280335,36.857598525828855
KEN,Kenya,Nairobi,-1.3489103938363391,36.78525074272762
KEN,Kenya,Nakuru,-0.2932623302658317,35.602905910680974
KEN,Kenya,Nandi,0.0503896202374376,34.92563155471774
KEN,Kenya,Narok,-0.9900274402981074,35.06524287637228
KEN,Kenya,Nyamira,-0.6953963309639066,35.01732049229276
KEN,Kenya,Nyandarua,-0.6573702007611528,36.57851877193923
KEN,Kenya,Nyeri,-0.2392429536731759,36.96563002939031
KEN,Kenya,Samburu,1.082166547451871,37.485640610770986
KEN,Kenya,Siaya,0.0660754715530899,34.20764761014863
KEN,Kenya,Taita Taveta,-3.702992055256143,38.34758340648084
KEN,Kenya,Tana River,-0.6158014098190758,39.23284286175528
KEN,Kenya,Tharaka-Nithi,-0.3291677339863142,37.631484570454454
KEN,Kenya,Trans Nzoia,1.0236992854680138,35.190091746025324
KEN,Kenya,Turkana,3.032469888799901,35.128816661928674
KEN,Kenya,Uasin Gishu,0.3365716289034335,35.45831418803097
KEN,Kenya,Vihiga,0.09203057290165,34.6073046009536
KEN,Kenya,Wajir,2.30201068053141,39.521745907724
KEN,Kenya,West Pokot,2.0381571092516264,35.1082462374663
KGZ,Kyrgyzstan,Batken,39.87038208401511,70.84581333073076
KGZ,Kyrgyzstan,Biškek,42.897345627425686,74.59171790060442
KGZ,Kyrgyzstan,Chüy,42.61117850634592,74.53796299502542
KGZ,Kyrgyzstan,Jalal-Abad,41.56218433374434,72.46140943283604
KGZ,Kyrgyzstan,Naryn,41.36881312742523,75.60437762354684
KGZ,Kyrgyzstan,Osh,40.152933405256,73.22043185679465
KGZ,Kyrgyzstan,Osh (city),40.51396967955913,72.81454163088361
KGZ,Kyrgyzstan,Talas,42.43519483045339,72.15147274101065
KGZ,Kyrgyzstan,Ysyk-Köl,42.17909588106857,77.95453734379049
KHM,Cambodia,Batdâmbâng,12.958231731808944,103.09971350141274
KHM,Cambodia,Bântéay Méanchey,13.695878756709703,103.025915948511
KHM,Cambodia,Kaôh Kong,11.510605140360388,103.43986434549971
KHM,Cambodia,Kep,10.515152622083663,104.32356845509308
KHM,Cambodia,Krong Pailin,12.87373357612713,102.61287184988268
KHM,Cambodia,Krong Preah Sihanouk,10.875101606042367,103.81324761103272
KHM,Cambodia,Krâchéh,12.62904870910766,106.12626797575844
KHM,Cambodia,Kâmpóng Cham,12.111076173422632,105.2586153773284
KHM,Cambodia,Kâmpóng Chhnang,12.1750214321708,104.55675467041098
KHM,Cambodia,Kâmpóng Spœ,11.550289288408552,104.29502189151212
KHM,Cambodia,Kâmpóng Thum,12.819732826157804,105.02985249956812
KHM,Cambodia,Kâmpôt,10.803656061086716,104.32440037321264
KHM,Cambodia,Kândal,11.41045808795589,105.01682287757345
KHM,Cambodia,Môndól Kiri,12.781854985678978,107.0071004812098
KHM,Cambodia,Otdar Mean Chey,14.158662178540826,103.7976333329578
KHM,Cambodia,Phnom Penh,11.579296332095025,104.8954102316247
KHM,Cambodia,Pouthisat,12.368851879631553,103.67548231035944
KHM,Cambodia,Preah Vihéar,13.80642260653984,104.99490466960978
KHM,Cambodia,Prey Vêng,11.371647092160874,105.42811136111446
KHM,Cambodia,Rôtânôkiri,13.80966584409887,107.07107025767112
KHM,Cambodia,Siemréab,13.44133855651437,104.03036597867064
KHM,Cambodia,Stœng Trêng,13.825794762588965,106.17946665393892
KHM,Cambodia,Svay Rieng,11.1471091215994,105.85597416565165
KHM,Cambodia,Takêv,10.95216252108468,104.80657183482424
KHM,Cambodia,Tbong Khmum,11.911639314611476,105.87548283201644
KNA,Saint Kitts and Nevis,Christ Church Nichola Town,17.36322961270333,-62.76567606442062
KNA,Saint Kitts and Nevis,Saint Anne Sandy Point,17.369295667893365,-62.841800299010735
KNA,Saint Kitts and Nevis,Saint George Basseterre,17.272109526643014,-62.68316445289559
KNA,Saint Kitts and Nevis,Saint George Gingerland,17.12796041544024,-62.5638693684743
KNA,Saint Kitts and Nevis,Saint James Windward,17.174549295697975,-62.572714057094046
KNA,Saint Kitts and Nevis,Saint John Capisterre,17.38501163141115,-62.796037497275925
KNA,Saint Kitts and Nevis,Saint John Figtree,17.123194786112037,-62.60017824846847
KNA,Saint Kitts and Nevis,Saint Mary Cayon,17.34991019268862,-62.73545086829739
KNA,Saint Kitts and Nevis,Saint Paul Capisterre,17.395013735873675,-62.82632282347452
KNA,Saint Kitts and Nevis,Saint Paul Charlestown,17.142814452640902,-62.61034784018919
KNA,Saint Kitts and Nevis,Saint Peter Basseterre,17.32054957221261,-62.718971428003485
KNA,Saint Kitts and Nevis,Saint Thomas Lowland,17.165625240292453,-62.6110577752122
KNA,Saint Kitts and Nevis,Saint Thomas Middle Island,17.335871560182348,-62.80120610400715
KNA,Saint Kitts and Nevis,Trinity Palmetto Point,17.31459646530267,-62.76636602026778
LAO,Laos,Attapu,14.792162901635228,106.93972552197498
LAO,Laos,Bokeo,20.334125502598233,100.67805821499104
LAO,Laos,Bolikhamxai,18.503354713492687,104.25842994783152
LAO,Laos,Champasak,14.76148613822046,105.96652638257156
LAO,Laos,Houaphan,20.28041688640767,104.00947070208488
LAO,Laos,Khammouan,17.58786256853862,105.26491154956916
LAO,Laos,Louang Namtha,20.90150981673008,101.11950479910176
LAO,Laos,Louangphrabang,20.15586861756842,102.565936593557
LAO,Laos,Oudômxai,20.4245298980992,101.73522379539116
LAO,Laos,Phôngsali,21.669275318164413,102.24389993130612
LAO,Laos,Saravan,15.84365079795308,106.29905685924643
LAO,Laos,Savannakhét,16.546902011778677,105.69805176677744
LAO,Laos,Vientiane,18.620103890750517,102.11596670534612
LAO,Laos,Vientiane [prefecture],18.13805518385923,102.56859111783008
LAO,Laos,Xaignabouri,18.898133842846185,101.35935448035067
LAO,Laos,Xaisômboun,18.90018579877941,103.07430142451642
LAO,Laos,Xiangkhoang,19.47781377287111,103.517637155047
LAO,Laos,Xékong,15.572600453793996,107.0569360400522
LBN,Lebanon,Akkar,34.54998313725262,36.187531098334986
LBN,Lebanon,Baalbak - Hermel,34.0949848854814,36.25628920707461
LBN,Lebanon,Beirut,33.89128300398765,35.49963725984865
LBN,Lebanon,Bekaa,33.507397378298485,35.876683434211664
LBN,Lebanon,Mount Lebanon,33.770608866239286,35.637812650040196
LBN,Lebanon,Nabatiyeh,33.159521360799744,35.40588958638777
LBN,Lebanon,North,34.24166039879111,35.791903050629344
LBN,Lebanon,South,33.51522356658112,35.52550909248843
LBR,Liberia,Bomi,6.672640787006802,-10.859702950150766
LBR,Liberia,Bong,6.9457528730973115,-10.24634581597225
LBR,Liberia,Gbapolu,7.572625259032504,-10.037699448442453
LBR,Liberia,Grand Bassa,6.276220275283026,-10.145750768190426
LBR,Liberia,Grand Cape Mount,6.691810539907705,-11.252651080224492
LBR,Liberia,Grand Gedeh,6.08504751804181,-8.576902967034794
LBR,Liberia,Grand Kru,4.957449558033474,-8.1626810451089
LBR,Liberia,Lofa,8.339705303913046,-10.240328377483872
LBR,Liberia,Margibi,6.382462236041785,-10.352972226856942
LBR,Liberia,Maryland,4.938955690809055,-7.919762755990363
